Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,53298,61685.96,180.84,61515,61639.0,62154
1364,52148,61668.67,164.21,61515,61639.0,62154
1365,10110,61657.09,146.15,61515,61639.0,62132
1366,10964,61673.18,166.99,61515,61639.0,62154
1367,15711,61670.54,163.17,61515,61639.0,62154
1368,22968,61675.37,163.23,61515,61639.0,62154
1369,36528,61666.89,155.47,61515,61639.0,62165
1370,38134,61701.73,156.07,61140,61719.0,62165
1371,39134,61699.49,152.7,61129,61719.0,62165
1372,26970,61700.65,154.31,61515,61719.0,62165
1373,47605,61715.18,169.72,61515,61719.0,62165
1374,88377,61720.33,179.18,61515,61719.0,62165
1375,54891,61722.52,176.82,61515,61719.0,62165
1376,55774,61729.86,181.18,61515,61719.0,62165
1377,44108,61733.4,188.17,61515,61719.0,62187
1378,71224,61743.17,198.81,61515,61719.0,62198
1379,70993,61749.47,202.4,61515,61719.0,62198
1380,75455,61754.56,206.73,61515,61719.0,62198
1381,98434,61764.9,211.43,61515,61719.0,62198
1382,77208,61765.59,215.74,61515,61719.0,62198
1383,66296,72926.84,444.23,72211,73213.0,73613
1384,73454,72899.73,454.75,72211,73213.0,73613
1385,88325,72906.44,452.46,72211,73214.0,73612
1386,91498,72908.03,452.13,72211,73213.0,73613
1387,109349,72892.91,457.88,72211,73213.0,73613
1388,97814,72874.88,464.56,72211,73213.0,73612
1389,103325,72871.77,466.24,72211,73213.0,73611
1390,100605,72866.16,467.9,72211,73213.0,73611
1391,99877,72856.83,469.68,72211,73213.0,73611
1392,93801,72834.79,476.0,72211,73213.0,73611
1393,93213,72835.92,475.78,72211,73213.0,73611
1394,90812,72825.21,478.36,72211,73213.0,73611
1395,89413,72812.45,480.46,72211,73213.0,73611
1396,87619,72803.01,483.16,72211,73213.0,73611
1397,87364,72786.06,485.92,72211,73212.0,73611
1398,80838,72776.91,487.41,72211,73212.0,73611
1399,69453,72727.52,491.53,72211,73113.0,73611
1400,73041,72728.82,490.63,72211,73113.0,73611
1401,73898,72728.65,490.18,72211,73113.0,73611
