Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,53298.0,1471.4,6236.48,2.0,600.0,808000.0
1364,52148.0,1572.66,5420.08,2.0,600.0,600000.0
1365,10110.0,1766.86,8695.13,4.0,700.0,700000.0
1366,10964.0,1883.6,4596.64,4.0,800.0,210000.0
1367,15711.0,2123.83,8271.23,2.0,900.0,800000.0
1368,22968.0,2154.17,5043.54,4.0,1000.0,200000.0
1369,36528.0,2695.09,7798.58,2.0,1050.0,513000.0
1370,38132.0,3408.9,15836.12,5.0,1500.0,2000000.0
1371,39134.0,4064.53,10157.18,10.0,2000.0,580000.0
1372,26970.0,4948.24,10448.26,10.0,2200.0,410000.0
1373,47605.0,7568.68,32196.05,10.0,3000.0,5000000.0
1374,88361.0,11003.59,30715.98,20.0,4800.0,2670000.0
1375,54891.0,13822.14,37673.46,25.0,6000.0,2750000.0
1376,55774.0,16792.81,72181.89,50.0,8000.0,14400000.0
1377,44108.0,21072.32,57625.62,50.0,10000.0,7500000.0
1378,71224.0,25910.54,87102.85,4.0,12000.0,16000000.0
1379,70993.0,30225.72,82916.93,40.0,15000.0,8400000.0
1380,75455.0,34455.91,76544.12,100.0,16800.0,10070000.0
1381,98434.0,41001.25,106794.22,50.0,20000.0,20000000.0
1382,77208.0,48280.99,107617.54,100.0,25000.0,18340000.0
1383,66296.0,48917.27,106637.1,0.0,24000.0,9000000.0
1384,73248.0,56443.59,137548.39,200.0,28000.0,12000000.0
1385,88325.0,57433.34,125693.12,0.0,30000.0,10000000.0
1386,91498.0,65459.96,159470.19,300.0,30000.0,20000000.0
1387,109349.0,78924.27,189832.42,500.0,40000.0,31200000.0
1388,97814.0,88065.53,194656.7,750.0,45000.0,24000000.0
1389,103325.0,112179.84,215939.27,500.0,50000.0,12000000.0
1390,100604.0,164804.91,319376.22,1000.0,92000.0,40000000.0
1391,99877.0,190624.78,337141.0,1500.0,100000.0,40000000.0
1392,93800.0,237927.8,403039.19,2000.0,150000.0,45000000.0
1393,93213.0,292819.69,511444.19,2000.0,150000.0,50000000.0
1394,90812.0,326568.09,555018.06,5000.0,200000.0,60000000.0
1395,89413.0,362367.38,587817.06,5000.0,200000.0,40000000.0
1396,87619.0,402256.56,576570.81,4950.0,210000.0,26000000.0
1397,87364.0,497181.0,990084.12,5000.0,300000.0,150000000.0
1398,80838.0,619608.31,985716.19,4000.0,300000.0,85000000.0
1399,69453.0,832141.38,1687047.75,10000.0,500000.0,336600000.0
1400,73041.0,1090837.62,1717214.88,16000.0,600000.0,150000000.0
1401,73898.0,1593866.5,2789193.75,14000.0,900000.0,150000000.0
