Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,53298,758866.39,491968.74,1001,1043058.5,1234515
1364,52148,714862.04,501111.37,1001,1032178.5,1234425
1365,10110,697272.56,522654.07,1001,1032075.0,1234215
1366,10964,686780.98,519513.93,1002,1032043.5,1234210
1367,15711,694761.79,515449.07,1002,1033056.0,1234275
1368,22968,669982.95,513283.12,1001,1022020.0,1234275
1369,36528,650704.81,511907.48,1001,1021087.5,1234220
1370,38134,647460.44,509481.23,1001,1014037.5,1234220
1371,39134,651054.06,508795.17,1001,1014006.0,1234219
1372,26970,682962.26,506577.88,1001,1022028.5,1234225
1373,47605,791039.45,494615.37,1001,1064051.0,1244040
1374,88377,7441999.08,5028346.1,10001,10610076.0,12440080
1375,54891,691799.19,519943.17,1001,1033089.0,1244035
1376,55774,677971.97,521726.33,1001,1032022.5,1254055
1377,44108,66200601.82,52052079.18,11001,103021004.5,127074100
1378,71224,65124460.91,51746235.0,11001,101031019.5,127074070
1379,70993,63272600.26,51584632.65,11001,27072086.0,127074070
1380,75455,63463173.1,51657124.57,11001,27073096.0,127074070
1381,98434,64420816.07,51453116.05,11001,100011054.0,127074180
1382,77208,64816549.62,51388977.76,11001,100012027.0,127114115
1383,66296,64760283.17,51395534.24,11001,100012011.0,127114130
1384,73454,64823890.77,51291816.12,11001,100012020.0,129214070
1385,88325,62953358.02,51672420.82,11001,28133125.0,129214100
1386,91498,65758877.06,50898207.37,11001,100014044.0,129214115
1387,109349,1624555809.17,503766868.82,1000001001,1287409005.0,2297861005
1388,97814,1614711467.44,504195053.2,1000001001,1280041004.0,2290245005
1389,103325,1622147349.4,503902117.85,1000001171,1280070068.0,2290128464
1390,100605,1627086258.82,503652578.91,1000001172,1290013184.0,2300127066
1391,99877,1628369864.77,503310333.17,1000001177,1290045127.0,2300127069
1392,93801,16208148580.09,5019708458.89,10001000101,12901626212.0,23004664416
1393,93213,16237174543.09,5027906783.87,10001000112,12901627813.0,23004664416
1394,90812,16239871324.16,5027499216.9,10001000116,12901628220.0,23004664429
1395,89413,16215236404.02,5027656155.92,10001000120,12901626126.0,23004664434
1396,87619,16224815960.55,5022675612.59,10001000126,12901626838.0,23004664440
1397,87364,15952197957.18,5009214393.16,10001000102,12709340414.0,23006709817
1398,80838,15905947662.12,5006683276.4,10001000108,12708338611.0,23006709818
1399,69453,16069690674.03,5009694055.95,10001000113,12802347623.0,23006709829
1400,73041,16002536561.14,5002508233.75,10001000119,12713343532.0,23006709832
1401,73898,15933632959.81,4995105609.65,10001000126,12711342538.0,23006709841
