Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,18009,21908597647: 7; 22603658831: 7; 21904595647: 6
DYCOL01,0,100.0,integer,11,"1: 14,514; 3: 3,652; 2: 2,264"
DYCOL02,0,100.0,integer,2,"1: 20,538; 2: 1,556"
DYCOL03,0,100.0,integer,371,"9314: 4,760; 9211: 1,894; 5224: 989"
DYCOL04,2,99.99094776862498,integer,384,"41000: 4,787; 49230: 711; 1610: 685"
DYCOL05,3,99.98642165293745,integer,4,"3: 18,334; 1: 3,729; 2: 28"
DYCOL06,1457,93.40544944328776,integer,19,"8: 12,346; 10: 2,378; 9: 1,611"
DYCOL07,1457,93.40544944328776,integer,8,"6: 10,845; 5: 3,407; 4: 2,180"
DYCOL08,0,100.0,integer,1185,"0: 1,853; 80000000: 1,374; 60000000: 1,148"
DYCOL09,0,100.0,integer,2904,600000000: 900; 720000000: 733; 960000000: 708
DYCOL10,0,100.0,integer,1831,"0: 1,866; 80000000: 1,331; 60000000: 1,165"
DYCOL11,0,100.0,integer,2920,600000000: 970; 960000000: 946; 720000000: 840
DYCOL12,0,100.0,integer,171,"0: 20,637; 10000000: 196; 20000000: 195"
DYCOL13,0,100.0,integer,414,"0: 14,533; 18000000: 673; 20000000: 569"
DYCOL14,0,100.0,integer,1914,"0: 1,855; 80000000: 1,269; 60000000: 1,141"
DYCOL15,0,100.0,integer,4151,600000000: 906; 720000000: 736; 960000000: 686
