Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,37883,12310289441: 1; 20001383933: 1; 20001383935: 1
DYCOL001,0,100.0,integer,3,"2: 31,626; 1: 6,252; 3: 5"
DYCOL002,37878,0.013198532323210888,string,2,کپر: 5
DYCOL01,19645,48.14296650212496,integer,8,"1: 16,179; 6: 1,116; 3: 522"
DYCOL03,5,99.98680146767678,integer,12,"4: 16,765; 3: 12,966; 5: 3,958"
DYCOL04,5,99.98680146767678,integer,213,"100: 5,890; 80: 3,830; 120: 3,492"
DYCOL05,19645,48.14296650212496,integer,4,"3: 14,185; 2: 2,279; 1: 1,774"
DYCOL06,12776,66.2751102077449,integer,9,"1: 16,977; 3: 3,616; 2: 2,511"
DYCOL07,20610,45.59564976374627,integer,2,"1: 17,273"
DYCOL08,29982,20.85632077712958,integer,2,"1: 7,901"
DYCOL09,34485,8.96972256685057,integer,2,"1: 3,398"
DYCOL10,36503,3.6427949212047617,integer,2,"1: 1,380"
DYCOL11,36532,3.566243433730165,integer,2,"1: 1,351"
DYCOL12,37687,0.5173824670696603,integer,2,1: 196
DYCOL13,1355,96.42319774041127,integer,2,"1: 36,528"
DYCOL14,35310,6.7919647335216276,integer,2,"1: 2,573"
DYCOL15,33246,12.240318876540924,integer,2,"1: 4,637"
DYCOL16,1740,95.40691075152444,integer,2,"1: 36,143"
DYCOL17,31419,17.06306258744028,integer,2,"1: 6,464"
DYCOL18,23256,38.61098645830584,integer,2,"1: 14,627"
DYCOL19,14133,62.69302853522688,integer,2,"1: 23,750"
DYCOL20,536,98.58511733495236,integer,2,"1: 37,347"
DYCOL21,6778,82.10806958266241,integer,2,"1: 31,105"
DYCOL22,9455,75.0415753768181,integer,2,"1: 28,428"
DYCOL23,25027,33.936066309426394,integer,2,"1: 12,856"
DYCOL24,22819,39.76453818335401,integer,2,"1: 15,064"
DYCOL25,35815,5.45891296887786,integer,2,"1: 2,068"
DYCOL26,34370,9.273288810284297,integer,2,"1: 3,513"
DYCOL27,36743,3.0092653696908944,integer,2,"1: 1,140"
DYCOL28,35361,6.657339703824938,integer,2,"1: 2,522"
DYCOL29,37881,0.005279412929282135,integer,2,1: 2
DYCOL30,450,98.81213209091149,integer,2,"1: 37,433"
DYCOL31,19650,48.12976796980176,integer,2,"1: 18,233"
DYCOL32,4360,88.49087981416467,integer,2,"1: 33,523"
DYCOL33,20276,46.477311722936406,integer,2,"1: 17,607"
DYCOL34,11147,70.57519203864531,integer,2,"1: 26,736"
DYCOL35,632,98.3317055143468,integer,2,"1: 37,251"
DYCOL36,1053,97.22038909273289,integer,2,"1: 36,830"
DYCOL37,21683,42.76324472718633,integer,2,"1: 16,200"
DYCOL38,37754,0.34052213393870323,integer,2,1: 129
DYCOL39,37461,1.1139561280785526,integer,2,1: 422
DYCOL40,36012,4.9388907953435535,integer,2,"1: 1,871"
DYCOL41,30703,18.95309241612333,integer,2,"1: 7,180"
DYCOL42,30352,19.87962938521236,integer,2,"1: 7,531"
DYCOL42_14,36090,4.73299369110155,integer,2,"1: 1,793"
DYCOL43,0,100.0,integer,7,"4: 33,499; 3: 4,339; 5: 20"
DYCOL44,0,100.0,integer,9,"14: 33,403; 11: 1,714; 15: 1,621"
DYCOL45,0,100.0,integer,9,"24: 33,361; 25: 2,785; 23: 997"
