Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,37883,20611458132: 16; 10603074141: 16; 22203621632: 15
DYCOL01,0,100.0,integer,16,"1: 37,883; 2: 33,741; 3: 25,424"
DYCOL03,0,100.0,integer,9,"3: 53,047; 1: 37,883; 2: 30,014"
DYCOL04,0,100.0,integer,2,"2: 62,258; 1: 61,599"
DYCOL05,0,100.0,integer,100,"40: 2,446; 8: 2,381; 12: 2,344"
DYCOL06,7914,93.61037325302567,string,4,"1: 98,619; 2: 17,294; -: 30"
DYCOL07,25208,79.64749670991547,string,4,"2: 70,214; 1: 28,405; -: 30"
DYCOL08,25207,79.64830409262295,string,11,"1: 37,521; 2: 20,375; 4: 19,297"
DYCOL09,16763,86.46584367456018,integer,7,"1: 34,109; 5: 31,726; 4: 19,360"
DYCOL10,16762,86.46665105726765,integer,5,"1: 63,079; 4: 35,545; 2: 6,805"
