Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,12400,21908597647: 9; 21908597547: 8; 21909599237: 8
DYCOL01,0,100.0,integer,9,"1: 13,031; 2: 2,140; 3: 1,674"
DYCOL02,0,100.0,integer,2,"1: 17,238; 2: 330"
DYCOL03,0,100.0,integer,234,"6111: 3,765; 6121: 3,694; 5224: 1,934"
DYCOL04,0,100.0,integer,261,"1110: 3,154; 1440: 2,732; 49220: 1,255"
DYCOL05,0,100.0,integer,3,"5: 13,500; 6: 2,172; 4: 1,896"
DYCOL06,0,100.0,integer,2,"1: 9,411; 2: 8,157"
DYCOL07,300,98.29234972677595,integer,20,"8: 4,382; 10: 2,109; 5: 1,918"
DYCOL08,317,98.19558287795994,integer,8,"7: 6,196; 6: 5,251; 5: 1,608"
DYCOL09,0,100.0,integer,439,"0: 14,146; 50000000: 212; 20000000: 144"
DYCOL10,0,100.0,integer,1652,"0: 4,022; 50000000: 421; 100000000: 416"
DYCOL11,0,100.0,integer,380,"0: 11,640; 50000000: 548; 20000000: 464"
DYCOL12,0,100.0,integer,1089,"0: 6,329; 50000000: 609; 20000000: 530"
DYCOL13,0,100.0,integer,157,"0: 16,292; 50000000: 127; 20000000: 100"
DYCOL14,0,100.0,integer,3224,"0: 2,517; 1200000000: 398; 600000000: 277"
DYCOL15,449,97.44421675774136,integer,3176,"0: 1,775; 1200000000: 567; 600000000: 365"
